e45d5d54-b4d3-4efb-9127-44e7e97e3987,Charline Craft,2023-08-18,sparkling wine
5003c4af-98a1-4d90-af0e-10d54ddd2a10,James Johnson,2023-08-24,toilet cleaner
9a035913-c18c-44e9-9635-896a25025d50,Marilyn Burns,2022-12-11,oil
58e765df-d982-46af-9037-ea88d63075df,Juan Madrid,2023-08-21,processed cheese
478031fe-55cb-4ec7-8a2e-b9e52b713263,Ramon Rokus,2023-01-12,brown bread
094cde5d-014a-4c24-9c7a-47c263d8e079,Louis Reyes,2023-06-22,liquor (appetizer)
a2d5eda1-dd6b-47e6-8835-a4185d095e5c,Willie Harmon,2023-08-09,turkey
fab5ce41-9f32-459f-bf63-1e8dd9250f3a,Amy Langford,2023-10-21,oil
0517fc35-9faa-481b-b503-3d3ec41bf67a,Brooke Willey,2023-10-25,shopping bags
39d84753-fd4e-4bb0-8efa-c9e88f84cdab,Patsy Jones,2023-05-20,organic products
0c245dde-3507-4581-8423-49c70e9ce631,Samuel Alexader,2023-05-18,bottled beer
54215b3c-1423-4715-b47d-9480927221e9,Brenda Mize,2023-09-28,specialty fat
55e7eaa5-490f-48e3-9216-2ae2b329e876,Sylvia Carter,2023-01-18,toilet cleaner
24db0c11-6312-472b-8b1e-243a2f0b5ce8,Jamie Adell,2023-10-22,salad dressing
21909b86-54fd-46c4-a5cb-0fda3dd24bd7,Maria Hyde,2023-09-14,packaged fruit/vegetables
58d045f7-1d31-4f05-ab82-e06036e0fa28,Gina Grijalva,2023-11-05,frozen fish
62425e5d-716d-42e7-b7aa-fbb01f8d7180,Lee Warren,2023-08-22,soap
01200328-39cf-4cab-b162-bf7a41f7624c,Richard Johnson,2022-12-13,dish cleaner
e931e904-f5b0-49ea-8b01-b56e9c35e084,Thomas Sullivan,2023-06-23,salt
2252fe65-0e42-40db-8114-a7e57eca72fc,Randy Secrest,2023-02-25,bottled beer
65a44fc1-67cf-4688-90fe-5b96e24977b8,Daniel Lopez,2023-09-17,jam
adfa8f10-1aa4-4f24-aa17-600609f3c163,John Kjellman,2023-04-07,kitchen towels
acab8bbf-2b69-41d2-8583-fa4c1a1f170e,Kevin Harris,2023-04-10,jam
dd55ea0c-85a9-4e05-a86e-4b53bbd9ac0f,John Jackson,2023-10-17,waffles
8bb91b74-565e-4530-a659-db0a76920f0f,John Barraclough,2023-04-30,spread cheese
33fbd1ff-3850-42fc-86ce-a5b0c9f5e029,Carl Kruger,2023-09-27,spread cheese
e772e399-69f8-47c6-a4ef-b223b7f7f92b,Daniel Clark,2023-04-04,whipped/sour cream
ea8981ab-da96-4e09-8dd7-49dbf85008f8,Wallace Beaumont,2023-11-06,whole milk
3491230d-e009-4a06-8960-9c91ec80afa5,Alfred Miller,2022-12-27,organic products
053fd14e-d380-41de-8805-686b0800eda5,Benjamin Spaulding,2023-06-30,meat
17886971-3724-48e2-963f-20359f7eea16,Kimberly Larsen,2023-11-05,canned beer
fe18c87f-244c-4043-8f8a-678129cedc9b,Elizabeth Tricarico,2023-08-13,hamburger meat
caaefa4e-3120-43f9-b77f-a44a50b1d42a,Ellen Beard,2023-03-01,decalcifier
3944b094-538f-4378-ae86-b49ba26d6f6e,Christopher Ramirez,2023-10-08,flour
8b006350-268e-43a6-8b3f-edcba048a0e4,Clarice Tynes,2022-12-14,hygiene articles
43f0fdac-48dc-4afa-b515-eb7431b5bb40,Elsie Williamson,2023-06-01,herbs
9409fe91-e1f6-4dec-a822-3c9ed316191b,Dana Brewer,2023-07-10,snack products
1efe7b18-fe92-4768-98fb-39be7c75ebdb,Josephine Rodriguez,2023-02-09,canned fruit
dfe261cf-7bdc-4825-adb1-19aad7eceb59,Gloria Mitchell,2023-07-24,decalcifier
b8714318-acbe-4a18-8f93-b066a21c9cf3,Sherry Venturelli,2023-06-09,cooking chocolate
198a64b0-6c27-4282-971d-9a7c22228984,Norris Lawrence,2023-07-26,butter
b4b233b4-5f5c-40e4-b415-3b8224eb983a,Norma Plotts,2023-09-15,meat
87b2cd7c-8bd2-4b27-84fd-d93af7a6711e,Pearlie Dinh,2023-05-25,semi-finished bread
197ec346-a60c-4c54-a8d5-324d90750e3a,Ian Bezio,2023-07-26,domestic eggs
25666524-43df-4fac-8650-108deea6e94a,Pamela Ortega,2022-12-16,chocolate marshmallow
5da19201-86c9-4013-8538-934f2dcf32f5,Judy Mahraun,2023-08-27,dessert
5a210bd6-58d6-451e-b334-97e28cd60813,Alex Arnold,2023-06-25,frozen meals
45ff762e-6a97-4ddc-8ab1-7648139f3b8a,Gary Buttrey,2023-09-18,frozen vegetables
022439cf-c945-4540-b120-3fd04fa6d2eb,Lola Mcelyea,2023-09-07,canned beer
66ea2dd8-a758-4004-a3cf-7b0989ea40f2,Latrisha Diaz,2023-02-22,dental care
237e4f3f-92bc-4e92-9766-1c0d0e74e1b1,Ruth Sutherland,2023-09-08,dishes
d4c83cac-fe5e-4e81-a2f4-a81b5a0f53b2,Angela Barmore,2022-11-15,jam
60068f7f-2332-4383-9ffc-e249e7dd7644,Frank Fletcher,2023-08-21,rice
4f5f8ace-b268-487f-9826-453703c7af92,Santos Marlett,2022-12-22,hard cheese
44ab7c46-7e6a-4172-a324-afd09b1c9859,Theron Arlington,2022-11-17,fish
0bc4482f-378d-44fa-a052-b44e9b324da5,Melissa Kennedy,2023-07-17,roll products 
98658978-7b71-45ca-80f5-601cd41fd5ae,Velda Wahlen,2023-03-18,chocolate marshmallow
38493aa4-a284-4bd8-8961-b463d3f11796,Jason Belanger,2023-10-23,misc. beverages
f1a1f920-34f8-4f83-b8a9-90c54ed20667,Terry Christian,2023-09-09,pip fruit
0c953a46-1897-4596-a6ba-f3047881efbc,Sandy Nicholson,2023-03-23,light bulbs
683f830e-c6c2-4371-ad58-64fcae745446,Wanda Creveling,2023-08-24,liver loaf
7d4d3561-7541-47b0-9d5f-7f51b0e0a91c,Becky Boysen,2023-06-13,jam
19c04f8c-67cd-40ee-a255-e41bfbec456c,Carol Gallegos,2022-11-12,chewing gum
f1bfa3ed-ac54-4102-877d-ac5e02c5ec97,Janine Johnson,2022-12-22,root vegetables
4a1ce2e6-1375-4f65-80d9-3a64a58449be,Betty Stanley,2023-02-15,specialty vegetables
37ec2ca3-f333-4110-bf06-f08e7c65f878,Marina Webster,2023-10-10,Instant food products
be3bda06-ebd1-4eff-8acd-b53a3c19a4b9,James Myers,2023-08-20,canned beer
089446b9-cc76-44a3-b701-60f676962724,Richard Maland,2023-04-25,salad dressing
bef29cce-5561-4db4-a252-eb6e7cb10dc4,Gregory Chappell,2023-03-14,house keeping products
5d723fe3-dbf4-4dbe-ae8b-6c1798af551a,Lori Bretthauer,2023-07-16,organic products
d40eeb70-49d7-4f77-98b1-eca0d91568e8,Katharina Hendrick,2023-04-07,baking powder
738038a4-a9b2-4703-9a47-7e686c6a6221,Amber Winner,2023-06-22,brandy
4e807fe1-a4b4-4b9f-9f20-c64afcfeb1bd,Tiffany Roberts,2023-10-05,rice
5b58832c-42bf-47c5-ba8e-e31aa7db5130,Michael Contreras,2023-10-04,oil
4c181cd5-a909-414d-ad53-244893f15cbc,Luis Cruz,2023-08-16,curd cheese
882849a4-668a-4849-a8af-3e8b1003e292,Jerome Crawford,2023-03-05,whipped/sour cream
a5d61801-dbec-432a-9258-c9b267902848,Janice Wells,2023-01-20,butter milk
0408eb05-811d-4bf6-a500-a69769bfc5d0,Jeanne Robbins,2023-08-10,decalcifier
5bea4bf4-32d2-4305-b6ff-feb9b6cd3a5c,Mark Wegener,2023-08-31,baking powder
814e278b-e70c-4ff1-9eb7-0e2641e02e35,Ronald Lampman,2023-06-24,condensed milk
24bde017-00fb-4b33-9591-28e5e4f179df,Connie Brandt,2023-03-18,seasonal products
e73d4eff-f837-4490-99cb-4baabd179f22,Robert Grant,2023-02-08,tidbits
6dd25126-9871-4f64-a284-18aaf3f51d4c,Jonathan Owens,2023-04-10,soda
2ecb6d06-2c2b-44ac-bd21-0969620c0d03,Jane Biles,2023-03-03,nuts/prunes
2d4260cd-d219-4564-9f2a-323b49a95afe,Robbie Gonzalez,2023-03-10,sauces
a43ec822-aa2a-4f4b-9c54-e3be6a22cd08,Rhonda Cantara,2023-02-28,beverages
24589f93-074d-4311-ae53-7f2d49ba5315,Heriberto Huether,2022-12-15,kitchen utensil
eede9cd6-1141-47ea-af1c-d9905af4d712,Sherry Hurrell,2022-12-15,vinegar
a979ac94-46f6-49ab-b59b-f229974bfa72,David Dicks,2023-02-18,frozen fruits
4896354a-78a9-4a03-b176-6af335dc9192,James Groh,2023-01-21,specialty cheese
6d431e6d-2982-4323-80a1-173600430fff,Denise Hart,2023-10-13,ketchup
7ad9c09c-687f-407a-b25f-1ac038e97fae,Thomas Dunn,2023-04-28,toilet cleaner
a2a2c26d-db48-4664-a25f-45fe5efdb497,Charles Muney,2023-05-27,red/blush wine
e32ef2d4-60de-466d-bfae-310ed3b9dddb,Alma Turner,2022-12-06,cleaner
5302d55d-60cb-4bac-b0d5-62b2f88e0d62,Adria Mcgregor,2023-10-09,oil
f933034b-7ebe-4fe5-92d6-5f387e2ddfa3,Patricia Ortiz,2023-02-23,onions
d361755d-5a5c-47f0-975e-e0498a4686b0,Dannette Estrada,2023-08-01,spread cheese
8feb03df-1f28-40e5-b323-f68259136227,David Wells,2023-02-12,candy
42af1eca-05e3-4469-955c-7b3a1bfa561f,Travis Guzman,2023-02-23,dessert
eb075369-5b43-4a9f-8f68-52bb653951fb,Josie Seay,2023-03-25,ketchup
459e3085-3117-4b2c-a493-dbdeabc797a9,Erica Sikorski,2023-03-09,cat food
2ed03607-4fb6-42c1-af0f-f62870aeb9cf,John Willard,2023-07-14,hygiene articles
77ed45bf-94f6-4278-a63e-75c8ed716049,Joseph Chou,2023-02-02,pet care
ee202cf8-d2d3-4fb8-a078-82f3b97ed0af,Janie Mcfarland,2023-04-27,mayonnaise
16556130-1e44-4181-a825-4fd654d1e88b,Todd Waldrup,2023-10-16,abrasive cleaner
bf2d2a34-31ad-4b36-a25b-d2c56499c91a,Mark Brashear,2023-04-26,sausage
dfec2c86-46ca-4295-8439-3427db7d1240,Carmella Yee,2023-09-10,pudding powder
91e18bc7-8b08-44d7-a483-630d5f035bc0,Natasha Ness,2022-12-06,snack products
b57be13a-7571-4d27-89e7-c22f90fb3942,Lucille Lockhart,2023-05-02,roll products 
b35192bb-7956-4bd8-b460-2650864221d3,Dana Santiago,2023-03-17,hamburger meat
27a417ec-4b3b-430d-a859-680399227a4d,Vincent Cavender,2023-06-22,kitchen utensil
93f8f1bd-3c93-4ea8-97fd-d4744ad74f56,Rowena Jones,2023-11-06,canned fruit
